City/Town,Ward,Pct,Clinton/ Kaine,Trump/ Pence,Total Votes Cast,pop by share of vote
Braintree,-,6B,889,785,1825,3162.6490836807916
Brewster,-,1,1307,815,2324,3348.7424798239176
Brewster,-,2,1320,750,2281,3286.782098312546
Brewster,-,3,1186,805,2210,3184.475421863536
Bridgewater,-,1,1088,1341,2659,5375.267656012177
Bridgewater,-,2,971,1095,2271,4590.911187214611
Bridgewater,-,3,1032,1350,2559,5173.1139269406385
Bridgewater,-,4,487,536,1134,2292.423287671233
Bridgewater,-,5,334,310,713,1441.356088280061
Bridgewater,-,6,860,706,1713,3462.893378995434
Bridgewater,-,7,946,923,2091,4227.034474885844
Brimfield,-,1,793,1113,2126,3609.0
Brockton,1,A,906,179,1135,2918.304782787447
Brockton,1,B,980,381,1461,3756.513909825956
Brockton,1,C,908,354,1338,3440.2570919555983
Brockton,1,D,1049,611,1823,4687.286007948472
Brockton,2,A,809,60,899,2311.5030834589556
Brockton,2,B,746,89,868,2231.796080581061
Brockton,2,C,754,79,859,2208.655337810059
Brockton,2,D,857,253,1179,3031.4373030012334
Brockton,3,A,918,257,1235,3175.4241469096887
Brockton,3,B,882,164,1101,2830.8841989858847
Brockton,3,C,984,544,1627,4183.332054268878
Brockton,3,D,932,557,1610,4139.621762368097
Brockton,4,A,752,108,883,2270.363985199397
Brockton,4,B,992,279,1345,3458.255447444155
Brockton,4,C,943,410,1438,3697.37645607784
Brockton,4,D,927,409,1423,3658.808551459504
Brockton,5,A,972,151,1180,3034.0084966424556
Brockton,5,B,961,387,1452,3733.3731670549537
Brockton,5,C,979,232,1275,3278.271892558586
Brockton,5,D,934,480,1511,3885.0735918870773
Brockton,6,A,805,236,1096,2818.0282307797725
Brockton,6,B,956,596,1673,4301.606961765109
Brockton,6,C,910,402,1398,3594.528710428943
Brockton,6,D,835,584,1533,3941.63985199397
Brockton,7,A,896,146,1083,2784.602713443881
Brockton,7,B,1047,252,1368,3517.392901192271
Brockton,7,C,1018,215,1282,3296.270248047143
Brockton,7,D,941,386,1410,3625.3830341236126
Brookfield,-,1,708,936,1827,3390.0
Brookline,-,1,1518,173,1802,3565.8714285714286
Brookline,-,2,1070,121,1265,2503.2338274932613
Brookline,-,3,1617,172,1901,3761.7766846361183
Brookline,-,4,1429,221,1746,3455.056334231806
Brookline,-,5,1640,205,1967,3892.3801886792453
Brookline,-,6,1711,151,1989,3935.9146900269543
Brookline,-,7,1470,153,1770,3502.5485175202157
Brookline,-,8,1626,146,1887,3734.0729110512125
Brookline,-,9,1551,159,1810,3581.702156334232
Brookline,-,10,1538,191,1839,3639.0885444743935
Brookline,-,11,1634,183,1907,3773.6497304582213
Brookline,-,12,1868,204,2217,4387.090431266846
Brookline,-,13,1622,184,1943,3844.888005390835
Brookline,-,14,1590,252,2008,3973.5126684636116
Brookline,-,15,1407,390,1952,3862.697574123989
Brookline,-,16,1292,270,1677,3318.516307277628
Buckland,-,1,703,230,1067,1902.0
Burlington,-,1,1188,946,2327,4009.2021942471342
Burlington,-,2,863,495,1493,2572.2986145298546
Burlington,-,3,1070,777,2025,3488.884591040158
Burlington,-,4,1002,683,1830,3152.917926717772
Burlington,-,5,1161,902,2228,3838.634503129615
Burlington,-,6,1134,884,2175,3747.320486672762
Burlington,-,7,1215,747,2141,3688.741683662705
Cambridge,1,1,1404,224,1758,3469.7420517247847
Cambridge,1,2,1267,179,1561,3080.925678465523
Cambridge,1,3,1365,202,1685,3325.662888029729
Cambridge,2,1,1342,74,1521,3001.9781915093276
Cambridge,2,2,433,19,511,1008.5541458653954
Cambridge,2,3,761,79,913,1801.9763897751586
Cambridge,3,1,1354,176,1666,3288.162831725536
Cambridge,3,2,914,62,1038,2048.687286513269
Cambridge,3,2A,675,34,768,1515.7917495589504
Cambridge,3,3,1376,62,1539,3037.5045606396156
Cambridge,4,1,1715,59,1871,3692.768702376037
Cambridge,4,2,1752,97,1971,3890.137419766525
Cambridge,4,3,636,31,735,1450.6600728200892
Cambridge,5,1,1505,72,1704,3363.162944333921
Cambridge,5,2,1678,115,1896,3742.110881723659
Cambridge,5,3,1262,61,1416,2794.741038249315
Cambridge,6,1,1656,80,1854,3659.2160204196543
Cambridge,6,2,1648,78,1834,3619.7422769415557
Cambridge,6,3,1661,127,1928,3805.2688712886156
Cambridge,7,1,1720,55,1879,3708.5581997672757
Cambridge,7,2,929,48,1051,2074.3452197740326
Cambridge,7,3,559,33,633,1249.3439810817913
Cambridge,8,1,1200,61,1339,2642.7671258586392
Cambridge,8,2,1224,63,1364,2692.109305206261
Cambridge,8,3,426,11,469,925.6592845613903
Cambridge,9,1,1948,98,2191,4324.3485980256
Cambridge,9,2,1926,236,2295,4529.612064111708
Cambridge,9,3,1557,193,1872,3694.7423895499423
Cambridge,10,1,1934,100,2176,4294.743290417026
Cambridge,10,2,1946,83,2124,4192.111557373973
Cambridge,10,3,1585,84,1740,3434.215682594497
Cambridge,11,1,1652,91,1825,3601.979092376412
Cambridge,11,2,1996,184,2325,4588.822679328854
Cambridge,11,3,1557,152,1830,3611.8475282459367
Canton,-,1,1102,715,1986,3251.33986332574
Canton,-,2,1255,831,2284,3739.2045558086556
Canton,-,3,1276,739,2167,3547.6603644646925
Canton,-,4,1245,991,2456,4020.790888382688
Canton,-,5,1248,801,2273,3721.1961275626422
Canton,-,6,1182,654,2004,3280.808200455581
Carlisle,-,1,2302,732,3391,4852.0
Carver,-,1,818,1051,2092,3781.5027485471965
Carver,-,2,763,1051,2024,3658.58583320245
Carver,-,3,948,1104,2251,4068.911418250353
Charlemont,-,1,407,228,735,1266.0
Charlton,-,1,712,945,1834,3243.0396403759705
Charlton,-,2,652,1029,1906,3370.3563547200656
