right,left,totalpop
8,243,461
30,33,546
270,46,896
148,36,586
8,155,752
111,44,403
16,379,614
29,676,2300
25,742,1671
7,151,309
1267,560,4609
94,177,2035
95,269,1566
14,1179,2210
478,106,1816
197,150,3212
38,307,1781
864,406,5424
0,0,1103
384,45,1164
1,53,158
9,406,1189
333,122,1352
87,103,1608
648,106,1508
14,340,802
1342,506,14224
246,34,939
495,667,4159
210,234,2083
802,136,2528
727,356,2793
564,94,2006
287,236,2144
359,42,1181
116,28,371
587,185,2478
149,191,2354
144,50,1363
633,103,2199
267,819,2894
389,81,1532
676,74,1200
676,443,4195
344,878,3907
251,131,1653
242,170,2166
221,133,1389
549,73,1883
743,221,1839
299,194,2744
514,145,2266
506,225,2455
79,99,2021
86,90,1813
196,232,4780
138,61,381
392,107,1598
192,102,880
241,98,620
815,436,2620
1102,283,5355
951,157,3120
1444,367,8411
127,16,335
150,26,374
404,33,1149
84,116,494
231,136,996
90,54,354
80,13,206
712,302,4557
568,221,1855
59,18,213
78,112,459
34,21,85
306,61,1264
162,55,602
112,105,576
204,75,717
252,49,706
120,17,397
953,200,3959
345,416,1297
794,151,2082
795,242,4394
779,173,2941
189,184,870
438,130,1506
234,224,1384
467,155,1271
287,188,2045
80,26,421
1417,781,6599
412,113,1377
158,430,1309
156,19,384
359,43,1002
227,191,1305
53,65,281
22,21,204
26,127,554
259,24,660
15,44,157
416,164,1608
355,98,1643
344,316,1578
294,78,1138
258,376,1691
99,769,1569
75,14,248
291,151,1297
245,60,651
92,157,622
209,66,519
32,205,636
250,52,671
868,93,2099
55,64,229
96,20,228
53,95,555
398,212,1836
1116,439,4193
259,73,923
473,80,1604
71,324,929
473,88,1422
131,242,1246
188,67,729
696,158,2123
232,88,875
83,9,278
390,292,1278
434,96,1304
221,213,1310
124,27,323
52,258,617
150,90,578
276,117,877
35,256,868
97,109,486
36,178,857
417,739,3407
45,162,536
80,68,391
68,29,177
292,332,2138
342,54,1007
131,42,288
84,96,792
82,379,1383
409,84,1540
59,169,609
304,43,901
45,96,401
20,106,363
163,120,779
510,321,2512
77,144,556
59,169,80
432,79,1188
4,850,1168
2,63,178
74,139,454
93,154,834
50,365,510
259,387,2206
185,35,541
495,139,2041
214,481,1833
47,396,1286
351,168,1406
24,80,304
118,252,756
39,129,364
76,247,684
587,116,1764
42,9,189
104,94,598
265,76,974
351,289,1660
316,637,2938
156,78,739
748,181,2760
305,71,1041
229,295,1531
81,142,590
218,120,673
335,51,1021
91,663,1913
190,112,818
45,14,72
25,29,55
40,151,450
53,235,533
110,257,1006
65,98,266
197,98,848
16,35,308
47,102,520
55,94,511
560,128,1194
108,116,538
293,102,1244
195,165,1086
82,29,194
284,42,846
25,14,84
148,69,553
87,78,754
91,60,440
45,83,375
475,133,1487
798,214,3691
1279,406,4740
284,50,943
146,52,427
24,308,1152
50,47,260
179,359,1040
77,394,1298
3,115,336
81,60,216
278,73,1146
46,162,789
156,53,541
127,130,521
123,169,670
508,440,2262
87,70,332
440,166,1836
153,85,536
406,301,1740
466,173,1890
30,82,211
26,65,306
61,39,219
332,97,1161
582,542,3105
113,398,1175
59,181,517
532,229,2500
747,102,1952
382,73,1069
242,145,897
75,141,756
1176,230,1905
73,25,272
715,193,1691
225,67,935
7,174,877
79,146,636
97,145,725
20,349,601
15,210,515
219,50,643
37,101,846
7,86,132
499,212,1832
11,619,1680
610,198,1534
115,152,323
99,76,724
97,36,451
165,130,597
972,177,3514
424,112,1705
216,70,643
240,72,785
12,451,796
125,15,300
76,70,287
376,191,1748
447,181,1417
150,101,706
277,62,973
72,180,764
638,123,1847
187,71,831
160,46,680
112,166,870
392,305,1712
45,240,471
133,39,525
223,449,1358
2,191,831
54,183,510
1,205,329
40,9,115
17,434,298
3,108,629
57,327,2185
10,122,408
112,319,1384
6,663,1563
133,131,816
186,48,526
5,183,317
156,46,611
17,434,936
349,58,1030
405,87,1047
474,209,2129
148,59,1113
3,114,283
