City/Town,Ward,Pct,Edward J. Markey,Gabriel E. Gomez,Total Votes Cast,pop by share of vote
Boston,6,5,165,171,343,2294.247365513955
Boston,6,6,196,231,437,2922.991541485709
Boston,6,7,179,203,389,2601.9306856703456
Boston,6,8,169,207,382,2555.109310863938
Boston,6,9,153,242,403,2695.5734352831596
Boston,7,1,165,201,374,2501.599168228044
Boston,7,2,151,240,399,2668.818363965213
Boston,7,3,251,293,559,3739.0212166830925
Boston,7,4,176,188,373,2494.9104003985576
Boston,7,5,161,121,290,1939.742670551157
Boston,7,6,164,70,236,1578.5492077588729
Boston,7,7,176,44,222,1484.9064581460584
Boston,7,8,156,94,255,1705.6357965191212
Boston,7,9,165,74,240,1605.30427907682
Boston,7,10,189,24,214,1431.3963155101642
Boston,8,1,183,26,212,1418.0187798511909
Boston,8,2,410,63,476,3183.853486835693
Boston,8,3,214,5,219,1464.8401546575979
Boston,8,4,104,3,107,715.6981577550821
Boston,8,5,238,16,254,1698.9470286896342
Boston,8,6,64,14,78,521.7238906999664
Boston,8,7,158,10,169,1130.4017631832605
Boston,9,1,332,52,386,2581.864382181885
Boston,9,2,434,75,509,3404.582825208755
Boston,9,3,573,37,612,4093.5259116458906
Boston,9,4,301,14,318,2127.0281697767864
Boston,9,5,469,23,493,3297.5625399369674
Boston,10,1,209,31,240,1605.30427907682
Boston,10,2,186,28,215,1438.0850833396512
Boston,10,3,145,24,170,1137.0905310127473
Boston,10,4,340,40,381,2548.4205430344514
Boston,10,5,221,39,261,1745.7684034960416
Boston,10,6,190,21,211,1411.330012021704
Boston,10,7,257,19,278,1859.4774565973164
Boston,10,8,383,52,443,2963.12414846263
Boston,10,9,498,50,551,3685.5110740471987
Boston,11,1,204,11,217,1451.4626189986247
Boston,11,2,335,9,347,2321.002436831902
Boston,11,3,230,5,235,1571.860439929386
Boston,11,4,413,27,444,2969.812916292117
Boston,11,5,362,19,382,2555.109310863938
Boston,11,6,352,29,386,2581.864382181885
Boston,11,7,456,37,495,3310.940075595941
Boston,11,8,408,42,452,3023.3230589280106
Boston,11,9,328,34,363,2428.0227221036903
Boston,11,10,399,24,428,2862.7926310203284
Boston,12,1,365,8,375,2508.2879360575307
Boston,12,2,424,13,438,2929.6803093151957
Boston,12,3,236,11,248,1658.8144217127137
Boston,12,4,213,6,220,1471.5289224870849
Boston,12,5,233,4,239,1598.615511247333
Boston,12,6,194,6,202,1351.1311015563233
Boston,12,7,475,20,496,3317.6288434254275
Boston,12,8,146,1,147,983.2488709345521
Boston,12,9,221,14,236,1578.5492077588729
Boston,13,1,303,18,321,2147.0944732652465
Boston,13,2,81,3,85,568.5452655063737
Boston,13,3,164,30,196,1310.9984945794029
Boston,13,4,179,9,189,1264.1771197729954
Boston,13,5,156,32,191,1277.554655431969
Boston,13,6,249,50,304,2033.3854201639717
Boston,13,7,204,92,297,1986.5640453575645
Boston,13,8,171,62,235,1571.860439929386
Boston,13,9,240,60,304,2033.3854201639717
Boston,13,10,402,191,602,4026.6382333510232
Boston,14,1,367,18,387,2588.5531500113716
Boston,14,2,461,16,478,3197.231022494666
Boston,14,3,198,3,203,1357.81986938581
Boston,14,4,219,5,224,1498.2839938050317
Boston,14,5,206,3,209,1397.9524763627305
Boston,14,6,216,9,225,1504.9727616345185
Boston,14,7,186,7,194,1297.6209589204295
Boston,14,8,276,10,287,1919.676367062697
Boston,14,9,197,10,209,1397.9524763627305
Boston,14,10,231,12,244,1632.0593503947666
Boston,14,11,174,1,177,1183.9119058191545
Boston,14,12,155,3,159,1063.5140848883932
Boston,14,13,226,5,231,1545.105368611439
Boston,14,14,296,4,300,2006.6303488460246
Boston,15,1,241,16,257,1719.0133321780945
Boston,15,2,159,6,166,1110.3354596948002
Boston,15,3,125,3,129,862.8510500037906
Boston,15,4,320,37,359,2401.2676507857427
Boston,15,5,210,8,220,1471.5289224870849
Boston,15,6,124,60,187,1250.799584114022
Boston,15,7,187,12,202,1351.1311015563233
Boston,15,8,138,29,167,1117.024227524287
Boston,15,9,189,49,243,1625.37058256528
Boston,16,1,172,50,222,1484.9064581460584
Boston,16,2,117,75,194,1297.6209589204295
Boston,16,3,217,53,277,1852.7886887678294
Boston,16,4,208,60,273,1826.0336174498825
Boston,16,5,236,106,343,2294.247365513955
Boston,16,6,285,67,355,2374.5125794677956
Boston,16,7,205,180,394,2635.3745248177793
Boston,16,8,286,172,467,3123.6545763703116
Boston,16,9,216,244,466,3116.965808540825
Boston,16,10,186,168,358,2394.578882956256
Boston,16,11,302,178,483,3230.6748616420996
Boston,16,12,255,275,535,3578.490788775411
Boston,17,1,229,14,243,1625.37058256528
Boston,17,2,138,18,157,1050.1365492294196
Boston,17,3,360,33,394,2635.3745248177793
Boston,17,4,448,55,505,3377.827753890808
Boston,17,5,150,3,155,1036.759013570446
Boston,17,6,271,24,296,1979.8752775280777
Boston,17,7,148,3,151,1010.0039422524991
Boston,17,8,229,9,239,1598.615511247333
Boston,17,9,291,26,320,2140.40570543576
Boston,17,10,332,9,343,2294.247365513955
Boston,17,11,114,13,127,849.4735143448171
Boston,17,12,247,25,272,1819.3448496203957
Boston,17,13,425,102,530,3545.0469496279766
Boston,17,14,280,38,320,2140.40570543576
Boston,18,1,466,19,486,3250.74116513056
Boston,18,2,386,5,392,2621.9969891588057
Boston,18,3,422,10,433,2896.236470167762
Boston,18,4,361,14,376,2514.9767038870177
Boston,18,5,484,17,503,3364.4502182318347
Boston,18,6,489,38,528,3531.6694139690035
Boston,18,7,311,53,364,2434.711489933177
Boston,18,8,557,75,634,4240.678803894599
Boston,18,9,344,107,456,3050.0781302459577
Boston,18,10,508,109,619,4140.347286452298
Boston,18,11,289,51,342,2287.558597684468
Boston,18,12,314,136,452,3023.3230589280106
Boston,18,13,178,31,212,1418.0187798511909
Boston,18,14,176,28,205,1371.1974050447836
Boston,18,15,366,27,393,2628.6857569882927
Boston,18,16,356,237,600,4013.2606976920492
Boston,18,17,323,116,445,2976.5016841216034
Boston,18,18,422,112,536,3585.1795566048977
Boston,18,19,448,128,584,3906.2404124202612
Boston,18,20,374,252,628,4200.546196917679
Boston,18,21,473,19,493,3297.5625399369674
Boston,18,22,343,165,510,3411.2715930382424
Boston,18,23,295,16,314,2100.2730984588393
Boston,19,1,446,25,472,3157.0984155177457
