City/Town,Ward,Pct,Elizabeth A. Warren,Scott P. Brown,Total Votes Cast,pop by share of vote
Boston,20,1,769,351,1139,2758.359374326036
Boston,20,2,915,291,1214,2939.98971065128
Boston,20,3,760,478,1255,3039.280961175746
Boston,20,4,770,211,994,2407.207390763898
Boston,20,5,637,561,1209,2927.88102156293
Boston,20,6,755,561,1324,3206.380870594971
Boston,20,7,488,336,828,2005.1989130306915
Boston,20,8,564,276,849,2056.05540720176
Boston,20,9,630,312,948,2295.8074511510818
Boston,20,10,763,710,1482,3589.0154457868175
Boston,20,11,404,239,648,1569.2861058501064
Boston,20,12,426,423,854,2068.1640962901092
Boston,20,13,428,364,795,1925.2815650475843
Boston,20,14,365,393,766,1855.0511683351567
Boston,20,15,707,632,1351,3271.767791672058
Boston,20,16,677,723,1408,3409.806847279244
Boston,20,17,773,718,1504,3642.293677775556
Boston,20,18,452,331,787,1905.9076625062248
Boston,20,19,405,394,809,1959.1858944949631
Boston,20,20,768,538,1315,3184.5852302359413
Boston,21,1,851,297,1164,2818.902819767784
Boston,21,2,614,157,792,1918.0163515945744
Boston,21,3,574,166,756,1830.8337901584575
Boston,21,4,477,123,608,1472.4165931433097
Boston,21,5,678,160,858,2077.851047560789
Boston,21,6,571,160,742,1796.9294607110785
Boston,21,7,689,191,890,2155.3466577262266
Boston,21,8,828,219,1054,2552.511659824093
Boston,21,9,867,235,1111,2690.550715431278
Boston,21,10,620,229,856,2073.007571925449
Boston,21,11,744,316,1069,2588.837727089142
Boston,21,12,698,335,1060,2567.0420867301123
Boston,21,13,803,609,1431,3465.5068170856516
Boston,21,14,473,157,635,1537.8035142203976
Boston,21,15,555,214,781,1891.3772356002055
Boston,21,16,750,349,1110,2688.128977613608
Boston,22,1,908,329,1255,3039.280961175746
Boston,22,2,933,278,1234,2988.4244670046783
Boston,22,3,733,375,1117,2705.081142337298
Boston,22,4,529,248,787,1905.9076625062248
Boston,22,5,418,176,604,1462.72964187263
Boston,22,6,461,177,644,1559.5991545794268
Boston,22,7,677,314,1005,2433.846506758267
Boston,22,8,522,387,915,2215.8901031679743
Boston,22,9,544,353,913,2211.0466275326344
Boston,22,10,730,348,1088,2634.8507456248703
Boston,22,11,487,239,737,1784.8207716227291
Boston,22,12,495,238,742,1796.9294607110785
Boston,22,13,355,218,587,1421.5600989722413
Bourne,-,1,569,901,1479,2843.6992408020246
Bourne,-,2,616,1093,1724,3314.7650379598986
Bourne,-,3,366,523,895,1720.8321977808062
Bourne,-,4,721,1004,1735,3335.9149308935175
Bourne,-,5,697,960,1665,3201.324703134125
Bourne,-,6,534,709,1244,2391.8606190383493
Bourne,-,7,606,921,1532,2945.6032703912792
Boxborough,-,1,1423,1525,2965,4996.0
Boxford,-,1,549,1171,1731,2655.0
Boxford,-,2,612,1164,1785,2737.824956672444
Boxford,-,3,553,1108,1677,2572.1750433275565
Boylston,-,1,1040,1632,2693,4355.0
Braintree,-,1A,690,1011,1715,3116.3113212343046
Braintree,-,1B,626,843,1474,2678.3923542270345
Braintree,-,2A,736,1000,1748,3176.27532916476
Braintree,-,2B,712,1029,1759,3196.2633318082453
Braintree,-,3A,754,701,1463,2658.404351583549
Braintree,-,3B,766,825,1607,2920.0654770982665
Braintree,-,4A,688,740,1437,2611.159981698948
Braintree,-,4B,654,728,1390,2525.756697676783
Braintree,-,5A,655,958,1631,2963.6756646840527
Braintree,-,5B,705,1020,1737,3156.287326521275
Braintree,-,6A,778,1189,1981,3599.6575669767676
Braintree,-,6B,714,1006,1729,3141.7505973260127
Brewster,-,1,1104,1094,2209,3297.215382276942
Brewster,-,2,1129,1037,2184,3259.8996808025536
Brewster,-,3,1081,1090,2186,3262.8849369205045
Bridgewater,-,1,820,1499,2327,5102.113165497318
Bridgewater,-,2,805,1358,2175,4768.842344201404
Bridgewater,-,3,823,1527,2364,5183.23829962856
Bridgewater,-,4,440,665,1114,2442.524308708213
Bridgewater,-,5,326,378,711,1558.918118035493
Bridgewater,-,6,676,816,1506,3302.0122162608336
Bridgewater,-,7,764,1140,1918,4205.3515476681805
Brimfield,-,1,782,1260,2054,3609.0
Brockton,1,A,754,276,1047,2848.1678990865594
