City/Town,Ward,Pct,Obama/ Biden,Romney/ Ryan,Total Votes Cast,pop by share of vote
Boston,21,15,605,136,781,1891.3772356002055
Boston,21,16,796,278,1110,2688.128977613608
Boston,22,1,942,261,1255,3039.280961175746
Boston,22,2,984,183,1234,2988.4244670046783
Boston,22,3,818,263,1117,2705.081142337298
Boston,22,4,575,177,787,1905.9076625062248
Boston,22,5,454,122,604,1462.72964187263
Boston,22,6,470,141,644,1559.5991545794268
Boston,22,7,747,217,1005,2433.846506758267
Boston,22,8,578,310,915,2215.8901031679743
Boston,22,9,610,266,913,2211.0466275326344
Boston,22,10,800,258,1088,2634.8507456248703
Boston,22,11,541,175,737,1784.8207716227291
Boston,22,12,543,174,742,1796.9294607110785
Boston,22,13,408,162,587,1421.5600989722413
Bourne,-,1,671,783,1479,2843.6992408020246
Bourne,-,2,728,972,1724,3314.7650379598986
Bourne,-,3,438,437,895,1720.8321977808062
Bourne,-,4,845,858,1735,3335.9149308935175
Bourne,-,5,824,816,1665,3201.324703134125
Bourne,-,6,602,626,1244,2391.8606190383493
Bourne,-,7,704,804,1532,2945.6032703912792
Boxborough,-,1,1753,1140,2965,4996.0
Boxford,-,1,700,1001,1731,2655.0
Boxford,-,2,714,1039,1785,2737.824956672444
Boxford,-,3,652,994,1677,2572.1750433275565
Boylston,-,1,1283,1343,2693,4355.0
Braintree,-,1A,834,830,1715,3116.3113212343046
Braintree,-,1B,726,730,1474,2678.3923542270345
Braintree,-,2A,872,849,1748,3176.27532916476
Braintree,-,2B,866,860,1759,3196.2633318082453
Braintree,-,3A,858,577,1463,2658.404351583549
Braintree,-,3B,895,677,1607,2920.0654770982665
Braintree,-,4A,777,634,1437,2611.159981698948
Braintree,-,4B,779,588,1390,2525.756697676783
Braintree,-,5A,817,778,1631,2963.6756646840527
Braintree,-,5B,857,851,1737,3156.287326521275
Braintree,-,6A,916,1035,1981,3599.6575669767676
Braintree,-,6B,862,823,1729,3141.7505973260127
Brewster,-,1,1224,937,2209,3297.215382276942
Brewster,-,2,1253,888,2184,3259.8996808025536
Brewster,-,3,1201,927,2186,3262.8849369205045
Bridgewater,-,1,1019,1271,2327,5102.113165497318
Bridgewater,-,2,971,1161,2175,4768.842344201404
Bridgewater,-,3,1066,1266,2364,5183.23829962856
Bridgewater,-,4,544,543,1114,2442.524308708213
Bridgewater,-,5,382,313,711,1558.918118035493
Bridgewater,-,6,830,639,1506,3302.0122162608336
Bridgewater,-,7,965,905,1918,4205.3515476681805
Brimfield,-,1,897,1095,2054,3609.0
Brockton,1,A,830,210,1047,2848.1678990865594
Brockton,1,B,1020,478,1526,4151.197912135711
Brockton,1,C,910,369,1294,3520.0852544584604
Brockton,1,D,981,646,1657,4507.558938668986
Brockton,2,A,815,45,866,2355.791213571118
Brockton,2,B,737,74,819,2227.936494127882
Brockton,2,C,714,59,780,2121.844280121792
Brockton,2,D,794,251,1064,2894.413223140496
Brockton,3,A,905,234,1155,3141.9617224880385
Brockton,3,B,873,149,1034,2812.8038277511964
Brockton,3,C,934,634,1587,4317.137016093954
Brockton,3,D,924,622,1574,4281.772944758591
Brockton,4,A,717,101,824,2241.5380600260983
Brockton,4,B,979,286,1289,3506.483688560243
Brockton,4,C,952,388,1367,3718.668116572423
Brockton,4,D,843,317,1177,3201.8086124401916
Brockton,5,A,981,117,1115,3033.149195302305
Brockton,5,B,1019,354,1394,3792.1165724227926
Brockton,5,C,957,237,1215,3305.1805132666377
Brockton,5,D,942,477,1448,3939.013484123532
Brockton,6,A,776,224,1016,2763.8381905176166
Brockton,6,B,931,543,1511,4110.393214441061
Brockton,6,C,890,385,1289,3506.483688560243
Brockton,6,D,905,564,1496,4069.588516746411
Brockton,7,A,940,124,1075,2924.3366681165726
Brockton,7,B,1058,212,1283,3490.1618094823834
Brockton,7,C,990,226,1233,3354.1461505002176
Brockton,7,D,945,384,1350,3672.4227925184864
Brookfield,-,1,830,858,1743,3390.0
Brookline,-,1,1339,337,1707,3482.4246760915626
Brookline,-,2,1020,208,1260,2570.506790788148
Brookline,-,3,1451,349,1830,3733.3551009065964
Brookline,-,4,1336,320,1684,3435.502726735906
Brookline,-,5,1562,345,1957,3992.445864740005
Brookline,-,6,1550,278,1868,3810.87832158116
Brookline,-,7,1386,327,1752,3574.2284900482823
Brookline,-,8,1484,281,1803,3678.272812532565
Brookline,-,9,1419,289,1751,3572.188405293689
Brookline,-,10,1359,362,1763,3596.669422348814
Brookline,-,11,1529,332,1902,3880.2412032373477
Brookline,-,12,1714,433,2204,4496.346799124666
Brookline,-,13,1390,418,1854,3782.317135016847
Brookline,-,14,1316,501,1854,3782.317135016847
Brookline,-,15,1238,670,1943,3963.884678175692
