City/Town,Ward,Pct,John F. Kerry,Michael E. Cloud,Total Votes Cast,,
Boston,16,12,631,95,884,,
Boston,17,1,289,14,370,,
Boston,17,2,213,27,313,,
Boston,17,3,475,41,633,,
Boston,17,4,631,53,848,,
Boston,17,5,164,9,222,,
Boston,17,6,389,38,539,,
Boston,17,7,187,12,247,,
Boston,17,8,321,17,431,,
Boston,17,9,310,33,443,,
Boston,17,10,446,22,570,,
Boston,17,11,154,19,231,,
Boston,17,12,342,28,424,,
Boston,17,13,485,84,705,,
Boston,17,14,346,33,480,,
Boston,18,1,492,27,639,,
Boston,18,2,414,12,506,,
Boston,18,3,532,20,671,,
Boston,18,4,480,15,641,,
Boston,18,5,497,25,656,,
Boston,18,6,611,39,771,,
Boston,18,7,397,53,541,,
Boston,18,8,735,70,993,,
Boston,18,9,507,72,717,,
Boston,18,10,727,112,"1,019",,
Boston,18,11,328,45,470,,
Boston,18,12,522,94,748,,
Boston,18,13,267,36,372,,
Boston,18,14,279,42,411,,
Boston,18,15,405,1,571,,
Boston,18,16,681,136,994,,
Boston,18,17,567,82,751,,
Boston,18,18,476,96,729,,
Boston,18,19,744,109,"1,015",,
Boston,18,20,821,140,"1,105",,
Boston,18,21,555,26,744,,
Boston,18,22,693,136,964,,
Boston,18,23,282,25,395,,
Boston,19,1,404,44,642,,
Boston,19,2,744,172,"1,162",,
Boston,19,3,412,54,609,,
Boston,19,4,585,67,829,,
Boston,19,5,532,62,757,,
Boston,19,6,554,65,944,,
Boston,19,7,511,66,784,,
Boston,19,8,401,56,562,,
Boston,19,9,342,45,496,,
Boston,19,10,582,84,816,,
Boston,19,11,248,29,375,,
Boston,19,12,421,55,598,,
Boston,19,13,333,44,464,,
Boston,20,1,693,102,916,,
Boston,20,2,559,83,815,,
Boston,20,3,566,113,874,,
Boston,20,4,498,70,724,,
Boston,20,5,684,137,971,,
Boston,20,6,721,153,"1,012",,
Boston,20,7,448,78,633,,
Boston,20,8,454,84,645,,
Boston,20,9,514,102,693,,
Boston,20,10,760,186,"1,148",,
Boston,20,11,411,80,570,,
Boston,20,12,490,121,730,,
Boston,20,13,428,72,591,,
Boston,20,14,487,107,708,,
Boston,20,15,705,160,"1,047",,
Boston,20,16,827,170,"1,171",,
Boston,20,17,891,193,"1,290",,
Boston,20,18,456,69,613,,
Boston,20,19,517,97,741,,
Boston,20,20,713,128,977,,
Boston,21,1,382,57,501,,
Boston,21,2,193,34,254,,
Boston,21,3,306,55,422,,
Boston,21,4,198,39,294,,
Boston,21,5,314,49,410,,
Boston,21,6,338,63,472,,
Boston,21,7,311,50,424,,
Boston,21,8,361,60,497,,
Boston,21,9,365,53,515,,
Boston,21,10,281,45,394,,
Boston,21,11,426,78,569,,
Boston,21,12,568,62,749,,
Boston,21,13,549,82,"1,046",,
Boston,21,14,276,32,341,,
Boston,21,15,366,53,455,,
Boston,21,16,472,73,652,,
Boston,22,1,553,102,778,,
Boston,22,2,474,91,693,,
Boston,22,3,550,102,766,,
Boston,22,4,464,73,606,,
Boston,22,5,317,37,401,,
Boston,22,6,307,48,410,,
Boston,22,7,517,84,684,,
Boston,22,8,484,92,697,,
Boston,22,9,386,75,538,,
Boston,22,10,555,102,773,,
Boston,22,11,370,53,490,,
Boston,22,12,332,51,456,,
Boston,22,13,311,67,445,,
Bourne,-,1,714,243,"1,064",,
Bourne,-,2,974,289,"1,405",,
Bourne,-,3,675,228,"1,033",,
Bourne,-,4,856,244,"1,246",,
Bourne,-,5,"1,030",339,"1,530",,
Bourne,-,6,682,250,"1,075",,
Boxborough,-,1,"1,447",399,"2,077",,
Boxford,-,1,710,321,"1,199",,
Boxford,-,2,825,382,"1,393",,
Boxford,-,3,712,352,"1,274",,
Boylston,-,1,"1,309",424,"1,952",,
Braintree,-,1,923,228,"1,261",,
Braintree,-,2,888,228,"1,244",,
Braintree,-,3,949,242,"1,308",,
Braintree,-,4,891,204,"1,224",,
Braintree,-,5,"1,049",222,"1,409",,
Braintree,-,6,818,168,"1,069",,
Braintree,-,7,912,176,"1,177",,
Braintree,-,8,683,188,951,,
Braintree,-,9,855,256,"1,218",,
Braintree,-,10,917,204,"1,253",,
Braintree,-,11,972,290,"1,405",,
Braintree,-,12,998,236,"1,361",,
Brewster,-,1,"1,127",376,"1,669",,
Brewster,-,2,"1,189",369,"1,781",,
Brewster,-,3,"1,054",354,"1,553",,
Bridgewater,-,1,"1,105",360,"1,620",,
Bridgewater,-,2,"1,069",310,"1,528",,
Bridgewater,-,3,"1,042",326,"1,516",,
Bridgewater,-,4,307,93,438,,
Bridgewater,-,5,432,144,646,,
Bridgewater,-,6,757,227,"1,076",,
Bridgewater,-,7,923,270,"1,340",,
Brimfield,-,1,877,303,"1,307",,
Brockton,1,A,523,127,710,,
Brockton,1,B,792,181,"1,090",,
Brockton,1,C,570,121,773,,
Brockton,1,D,"1,008",230,"1,375",,
Brockton,2,A,250,31,297,,
Brockton,2,B,340,30,392,,
Brockton,2,C,238,39,304,,
Brockton,2,D,583,102,751,,
Brockton,3,A,446,101,597,,
Brockton,3,B,437,68,562,,
Brockton,3,C,972,218,"1,320",,
Brockton,3,D,917,210,"1,224",,
Brockton,4,A,284,40,359,,
Brockton,4,B,556,97,718,,
Brockton,4,C,693,149,913,,
Brockton,4,D,676,124,901,,
Brockton,5,A,350,62,444,,
Brockton,5,B,767,137,968,,
Brockton,5,C,534,100,694,,
Brockton,5,D,796,164,"1,048",,
Brockton,6,A,472,90,616,,
Brockton,6,B,778,155,996,,
Brockton,6,C,631,145,838,,
Brockton,6,D,815,200,"1,099",,
Brockton,7,A,393,64,489,,
Brockton,7,B,615,131,807,,
Brockton,7,C,571,99,721,,
Brockton,7,D,677,148,913,,
Brookfield,-,1,803,263,"1,197",,
Brookline,-,1,907,141,"1,185",,
Brookline,-,2,680,89,868,,
Brookline,-,3,"1,034",128,"1,362",,
Brookline,-,4,883,118,"1,153",,
Brookline,-,5,871,109,"1,244",,
Brookline,-,6,864,112,"1,232",,
Brookline,-,7,954,115,"1,242",,
Brookline,-,8,973,104,"1,240",,
Brookline,-,9,975,86,"1,235",,
Brookline,-,10,879,83,"1,097",,
Brookline,-,11,988,105,"1,259",,
Brookline,-,12,"1,070",120,"1,369",,
Brookline,-,13,992,146,"1,306",,
Brookline,-,14,"1,055",187,"1,438",,
Brookline,-,15,"1,118",263,"1,628",,
Brookline,-,16,"1,131",158,"1,509",,
Buckland,-,1,484,122,743,,
Burlington,-,1,"1,214",374,"1,726",,
Burlington,-,2,843,244,"1,199",,
Burlington,-,3,"1,164",354,"1,693",,
Burlington,-,4,985,256,"1,378",,
Burlington,-,5,"1,273",331,"1,738",,
Burlington,-,6,"1,186",311,"1,630",,
Cambridge,1,1,617,110,835,,
Cambridge,1,2,687,113,946,,
Cambridge,1,3,715,90,917,,
Cambridge,2,1,590,55,752,,
Cambridge,2,2,117,35,173,,
Cambridge,2,3,170,42,243,,
Cambridge,3,1,662,93,877,,
Cambridge,3,2,651,65,867,,
Cambridge,3,3,476,53,672,,
Cambridge,4,1,849,83,"1,111",,
Cambridge,4,2,830,101,"1,150",,
Cambridge,4,3,324,39,428,,
Cambridge,5,1,809,102,"1,096",,
Cambridge,5,2,762,76,"1,091",,
Cambridge,5,3,879,119,"1,248",,
Cambridge,6,1,848,96,"1,251",,
Cambridge,6,2,810,104,"1,110",,
Cambridge,6,3,957,99,"1,289",,
Cambridge,7,1,802,82,"1,202",,
Cambridge,7,2,461,49,637,,
Cambridge,7,3,281,44,385,,
Cambridge,8,1,647,79,872,,
Cambridge,8,2,949,121,"1,343",,
Cambridge,8,3,220,20,274,,
Cambridge,9,1,"1,073",150,"1,582",,
Cambridge,9,2,"1,082",136,"1,509",,
Cambridge,9,3,"1,059",120,"1,387",,
Cambridge,10,1,"1,017",121,"1,431",,
Cambridge,10,2,"1,058",128,"1,558",,
Cambridge,10,3,679,67,863,,
Cambridge,11,1,421,13,487,,
Cambridge,11,2,976,142,"1,377",,
Cambridge,11,3,"1,073",150,"1,482",,
Canton,-,1,"1,011",223,"1,361",,
Canton,-,2,"1,204",236,"1,592",,
Canton,-,3,967,280,"1,370",,
Canton,-,4,"1,147",319,"1,675",,
Canton,-,5,"1,179",287,"1,630",,
Canton,-,6,"1,045",214,"1,387",,
Carlisle,-,1,"1,659",590,"2,561",,
Carver,-,1,938,265,"1,319",,
Carver,-,2,925,288,"1,329",,
Carver,-,3,"1,073",301,"1,536",,
Charlemont,-,1,283,63,411,,
Charlton,-,1,806,261,"1,171",,
Charlton,-,2,894,295,"1,296",,
Charlton,-,3,"1,010",270,"1,392",,
Chatham,-,1,"1,226",436,"1,982",,
Chatham,-,2,"1,216",439,"1,959",,
Chelmsford,-,1,"1,050",381,"1,631",,
Chelmsford,-,2,934,258,"1,288",,
Chelmsford,-,3,"1,097",307,"1,568",,
Chelmsford,-,4,"1,032",332,"1,502",,
Chelmsford,-,5,"1,088",375,"1,620",,
Chelmsford,-,6,"1,280",384,"1,819",,
Chelmsford,-,7,"1,285",472,"1,957",,
Chelmsford,-,8,"1,207",406,"1,787",,
Chelmsford,-,9,"1,206",444,"1,818",,
Chelsea,1,1,218,25,284,,
Chelsea,1,2,158,23,203,,
Chelsea,1,3,235,33,302,,
Chelsea,1,4,163,29,217,,
Chelsea,2,1,518,101,696,,
Chelsea,2,2,200,25,259,,
Chelsea,2,3,176,11,208,,
