City/Town,Ward,Pct,Elizabeth A. Warren,Scott P. Brown,Total Votes Cast,
Boston,17,3,"1,107",83,"1,200",
Boston,17,4,"1,158",188,"1,352",
Boston,17,5,556,23,586,
Boston,17,6,807,94,912,
Boston,17,7,433,18,453,
Boston,17,8,711,42,758,
Boston,17,9,592,68,663,
Boston,17,10,"1,009",45,"1,057",
Boston,17,11,361,30,393,
Boston,17,12,615,65,684,
Boston,17,13,823,258,"1,097",
Boston,17,14,704,92,798,
Boston,18,1,"1,289",52,"1,347",
Boston,18,2,987,27,"1,024",
Boston,18,3,"1,144",46,"1,196",
Boston,18,4,"1,094",45,"1,146",
Boston,18,5,"1,137",47,"1,192",
Boston,18,6,"1,263",87,"1,356",
Boston,18,7,815,174,994,
Boston,18,8,"1,482",214,"1,705",
Boston,18,9,823,260,"1,099",
Boston,18,10,"1,162",320,"1,497",
Boston,18,11,812,129,949,
Boston,18,12,797,271,"1,073",
Boston,18,13,512,103,622,
Boston,18,14,557,80,646,
Boston,18,15,910,68,985,
Boston,18,16,718,481,"1,207",
Boston,18,17,803,257,"1,069",
Boston,18,18,"1,041",286,"1,341",
Boston,18,19,"1,224",324,"1,594",
Boston,18,20,890,587,"1,488",
Boston,18,21,"1,265",42,"1,314",
Boston,18,22,817,430,"1,256",
Boston,18,23,719,51,779,
Boston,19,1,927,108,"1,047",
Boston,19,2,857,441,"1,308",
Boston,19,3,735,152,893,
Boston,19,4,"1,076",116,"1,196",
Boston,19,5,860,112,978,
Boston,19,6,"1,177",148,"1,336",
Boston,19,7,"1,105",149,"1,260",
Boston,19,8,615,98,717,
Boston,19,9,583,82,667,
Boston,19,10,"1,021",217,"1,246",
Boston,19,11,797,78,887,
Boston,19,12,695,128,838,
Boston,19,13,697,131,840,
Boston,20,1,769,351,"1,139",
Boston,20,2,915,291,"1,214",
Boston,20,3,760,478,"1,255",
Boston,20,4,770,211,994,
Boston,20,5,637,561,"1,209",
Boston,20,6,755,561,"1,324",
Boston,20,7,488,336,828,
Boston,20,8,564,276,849,
Boston,20,9,630,312,948,
Boston,20,10,763,710,"1,482",
Boston,20,11,404,239,648,
Boston,20,12,426,423,854,
Boston,20,13,428,364,795,
Boston,20,14,365,393,766,
Boston,20,15,707,632,"1,351",
