City/Town,Ward,Pct,Edward M. Kennedy,Kenneth G. Chase,Total Votes Cast,
Boston,16,3,439,64,542,
Boston,16,4,437,63,524,
Boston,16,5,460,97,589,
Boston,16,6,538,88,669,
Boston,16,7,509,158,718,
Boston,16,8,492,121,649,
Boston,16,9,527,208,800,
Boston,16,10,359,114,508,
Boston,16,11,550,155,747,
Boston,16,12,594,176,841,
Boston,17,1,387,18,449,
Boston,17,2,265,36,321,
Boston,17,3,629,53,727,
Boston,17,4,777,83,917,
Boston,17,5,245,10,280,
Boston,17,6,504,42,577,
Boston,17,7,234,10,269,
Boston,17,8,436,13,476,
Boston,17,9,410,31,465,
Boston,17,10,572,22,621,
Boston,17,11,203,19,235,
Boston,17,12,421,33,482,
Boston,17,13,548,101,697,
Boston,17,14,437,46,509,
Boston,18,1,788,20,889,
Boston,18,2,579,12,649,
Boston,18,3,712,20,769,
Boston,18,4,626,32,715,
Boston,18,5,682,33,770,
Boston,18,6,748,54,878,
Boston,18,7,497,78,602,
Boston,18,8,951,93,"1,093",
Boston,18,9,629,114,775,
Boston,18,10,811,148,"1,012",
Boston,18,11,461,54,557,
Boston,18,12,590,139,767,
Boston,18,13,356,34,420,
Boston,18,14,344,51,422,
Boston,18,15,525,45,599,
Boston,18,16,660,225,945,
Boston,18,17,568,119,736,
Boston,18,18,618,129,792,
Boston,18,19,830,166,"1,048",
Boston,18,20,750,215,"1,033",
Boston,18,21,788,23,859,
Boston,18,22,666,180,892,
Boston,18,23,416,28,468,
Boston,19,1,619,45,685,
Boston,19,2,793,251,"1,096",
Boston,19,3,563,71,653,
Boston,19,4,797,52,883,
Boston,19,5,685,61,786,
Boston,19,6,888,47,968,
Boston,19,7,757,83,865,
Boston,19,8,464,56,539,
Boston,19,9,432,43,487,
Boston,19,10,723,107,863,
Boston,19,11,335,25,403,
Boston,19,12,540,72,640,
Boston,19,13,407,67,504,
Boston,20,1,707,133,879,
Boston,20,2,691,147,875,
Boston,20,3,548,223,830,
Boston,20,4,639,108,770,
Boston,20,5,621,228,888,
Boston,20,6,738,244,"1,029",
Boston,20,7,450,146,621,
Boston,20,8,474,131,634,
Boston,20,9,486,133,651,
Boston,20,10,729,306,"1,095",
Boston,20,11,367,133,517,
Boston,20,12,465,179,696,
Boston,20,13,417,134,576,
Boston,20,14,447,190,671,
Boston,20,15,683,256,996,
Boston,20,16,678,302,"1,046",
Boston,20,17,802,342,"1,201",
Boston,20,18,397,130,561,
Boston,20,19,462,183,682,
Boston,20,20,710,232,983,
Boston,21,1,448,75,534,
Boston,21,2,114,13,129,
Boston,21,3,307,42,358,
Boston,21,4,229,30,269,
Boston,21,5,302,39,350,
Boston,21,6,385,64,463,
Boston,21,7,366,50,439,
Boston,21,8,388,68,479,
Boston,21,9,452,52,521,
Boston,21,10,401,66,492,
Boston,21,11,413,74,504,
Boston,21,12,573,98,714,
Boston,21,13,803,132,980,
Boston,21,14,258,54,323,
Boston,21,15,378,72,456,
Boston,21,16,493,101,611,
Boston,22,1,553,106,690,
Boston,22,2,527,102,665,
Boston,22,3,518,112,655,
Boston,22,4,427,85,543,
Boston,22,5,286,53,351,
Boston,22,6,297,62,371,
Boston,22,7,494,96,604,
Boston,22,8,474,126,623,
Boston,22,9,400,82,500,
Boston,22,10,518,133,680,
Boston,22,11,333,91,445,
Boston,22,12,378,75,478,
Boston,22,13,289,95,408,
Bourne,-,1,682,481,"1,191",
Bourne,-,2,855,576,"1,458",
Bourne,-,3,584,381,992,
Bourne,-,4,845,538,"1,428",
Bourne,-,5,896,650,"1,581",
Bourne,-,6,608,480,"1,116",
Boxborough,-,1,"1,313",717,"2,091",
Boxford,-,1,566,582,"1,176",
Boxford,-,2,656,702,"1,397",
Boxford,-,3,592,626,"1,253",
Boylston,-,1,"1,139",784,"1,983",
Braintree,-,1,773,433,"1,261",
Braintree,-,2,767,387,"1,221",
Braintree,-,3,766,416,"1,227",
Braintree,-,4,772,405,"1,236",
Braintree,-,5,782,464,"1,307",
Braintree,-,6,658,301,"1,002",
Braintree,-,7,747,341,"1,131",
Braintree,-,8,592,297,931,
Braintree,-,9,808,458,"1,315",
Braintree,-,10,751,363,"1,163",
Braintree,-,11,798,487,"1,329",
Braintree,-,12,806,451,"1,315",
Brewster,-,1,"1,081",663,"1,775",
Brewster,-,2,"1,094",688,"1,829",
Brewster,-,3,979,670,"1,689",
Bridgewater,-,1,939,631,"1,637",
Bridgewater,-,2,907,622,"1,587",
Bridgewater,-,3,980,688,"1,715",
Bridgewater,-,4,271,185,475,
Bridgewater,-,5,361,246,634,
Bridgewater,-,6,715,349,"1,095",
Bridgewater,-,7,809,484,"1,334",
Brimfield,-,1,769,660,"1,470",
Brockton,1,A,527,171,735,
Brockton,1,B,719,285,"1,047",
Brockton,1,C,536,214,771,
Brockton,1,D,938,397,"1,386",
Brockton,2,A,291,49,370,
Brockton,2,B,358,54,430,
Brockton,2,C,269,48,341,
Brockton,2,D,514,182,723,
Brockton,3,A,438,133,602,
Brockton,3,B,477,106,619,
Brockton,3,C,804,395,"1,250",
Brockton,3,D,801,375,"1,213",
Brockton,4,A,291,64,383,
Brockton,4,B,579,196,807,
Brockton,4,C,654,266,951,
Brockton,4,D,691,249,968,
Brockton,5,A,431,79,542,
Brockton,5,B,680,252,958,
Brockton,5,C,541,166,742,
Brockton,5,D,718,270,"1,022",
Brockton,6,A,444,152,624,
Brockton,6,B,725,243,981,
Brockton,6,C,628,266,914,
Brockton,6,D,743,321,"1,101",
Brockton,7,A,421,101,558,
Brockton,7,B,696,170,895,
Brockton,7,C,586,140,754,
Brockton,7,D,651,255,943,
Brookfield,-,1,776,508,"1,319",
Brookline,-,1,962,187,"1,181",
Brookline,-,2,663,114,796,
Brookline,-,3,"1,099",176,"1,305",
Brookline,-,4,934,185,"1,158",
Brookline,-,5,"1,021",172,"1,235",
Brookline,-,6,"1,133",140,"1,303",
Brookline,-,7,"1,002",138,"1,170",
Brookline,-,8,"1,040",123,"1,201",
Brookline,-,9,"1,136",136,"1,298",
Brookline,-,10,906,175,"1,113",
Brookline,-,11,"1,096",130,"1,252",
Brookline,-,12,"1,181",187,"1,401",
Brookline,-,13,990,188,"1,223",
Brookline,-,14,"1,158",277,"1,474",
Brookline,-,15,"1,099",391,"1,557",
Brookline,-,16,"1,158",280,"1,489",
Buckland,-,1,601,194,823,
Burlington,-,1,"1,028",658,"1,741",
Burlington,-,2,838,437,"1,323",
Burlington,-,3,"1,077",591,"1,728",
Burlington,-,4,896,434,"1,369",
Burlington,-,5,"1,026",614,"1,685",
Burlington,-,6,"1,015",556,"1,634",
Cambridge,1,1,692,150,859,
Cambridge,1,2,769,121,922,
Cambridge,1,3,739,116,889,
Cambridge,2,1,787,50,875,
Cambridge,2,2,94,37,136,
Cambridge,2,3,165,40,215,
Cambridge,3,1,725,100,850,
Cambridge,3,2,796,82,910,
Cambridge,3,3,641,41,711,
Cambridge,4,1,"1,033",77,"1,139",
Cambridge,4,2,"1,075",119,"1,237",
Cambridge,4,3,346,36,394,
Cambridge,5,1,"1,047",92,"1,187",
Cambridge,5,2,"1,108",90,"1,224",
Cambridge,5,3,"1,144",131,"1,300",
Cambridge,6,1,"1,078",123,"1,234",
Cambridge,6,2,958,103,"1,092",
Cambridge,6,3,"1,116",111,"1,257",
Cambridge,7,1,"1,059",106,"1,187",
Cambridge,7,2,489,50,559,
Cambridge,7,3,307,35,350,
Cambridge,8,1,715,72,802,
Cambridge,8,2,"1,112",127,"1,263",
Cambridge,8,3,231,21,257,
