City/Town,Ward,Pct,John F. Kerry,Jeffrey K. Beatty,Total Votes Cast,,
Boston,14,8,618,15,682,,
Boston,14,9,583,13,653,,
Boston,14,10,682,7,733,,
Boston,14,11,473,15,536,,
Boston,14,12,428,4,463,,
Boston,14,13,585,12,643,,
Boston,14,14,704,11,766,,
Boston,15,1,744,25,868,,
Boston,15,2,502,13,575,,
Boston,15,3,292,19,339,,
Boston,15,4,792,74,989,,
Boston,15,5,630,20,707,,
Boston,15,6,294,94,444,,
Boston,15,7,477,19,535,,
Boston,15,8,388,70,530,,
Boston,15,9,420,67,582,,
Boston,16,1,436,105,607,,
Boston,16,2,313,101,459,,
Boston,16,3,668,120,881,,
Boston,16,4,585,109,753,,
Boston,16,5,632,184,865,,
Boston,16,6,811,116,"1,051",,
Boston,16,7,557,257,888,,
Boston,16,8,641,203,911,,
Boston,16,9,574,350,"1,023",,
Boston,16,10,494,180,726,,
Boston,16,11,649,251,976,,
Boston,16,12,582,304,968,,
Boston,17,1,623,16,698,,
Boston,17,2,423,33,505,,
Boston,17,3,915,66,"1,069",,
Boston,17,4,"1,088",109,"1,277",,
Boston,17,5,437,7,482,,
Boston,17,6,686,53,803,,
Boston,17,7,377,7,418,,
Boston,17,8,629,20,693,,
Boston,17,9,548,51,644,,
Boston,17,10,844,24,923,,
Boston,17,11,278,26,337,,
Boston,17,12,553,46,649,,
Boston,17,13,753,155,988,,
Boston,17,14,591,69,699,,
Boston,18,1,"1,131",27,"1,267",,
Boston,18,2,837,19,919,,
Boston,18,3,997,18,"1,107",,
Boston,18,4,942,36,"1,052",,
Boston,18,5,991,35,"1,096",,
Boston,18,6,"1,105",59,"1,236",,
Boston,18,7,731,101,889,,
Boston,18,8,"1,420",116,"1,638",,
Boston,18,9,722,160,950,,
Boston,18,10,"1,108",210,"1,410",,
Boston,18,11,699,80,852,,
Boston,18,12,763,205,"1,043",,
Boston,18,13,484,55,579,,
Boston,18,14,513,59,600,,
Boston,18,15,805,49,896,,
Boston,18,16,775,310,"1,156",,
Boston,18,17,774,147,983,,
Boston,18,18,912,210,"1,202",,
Boston,18,19,"1,115",211,"1,415",,
Boston,18,20,920,358,"1,376",,
Boston,18,21,"1,197",30,"1,314",,
Boston,18,22,832,271,"1,176",,
Boston,18,23,661,31,738,,
Boston,19,1,858,62,974,,
Boston,19,2,918,300,"1,315",,
Boston,19,3,711,100,868,,
Boston,19,4,994,77,"1,145",,
Boston,19,5,866,95,"1,042",,
Boston,19,6,"1,164",84,"1,340",,
Boston,19,7,980,109,"1,158",,
Boston,19,8,583,71,686,,
Boston,19,9,539,57,627,,
Boston,19,10,906,168,"1,142",,
Boston,19,11,607,36,716,,
Boston,19,12,597,95,750,,
Boston,19,13,592,106,750,,
Boston,20,1,870,190,"1,166",,
Boston,20,2,823,196,"1,109",,
Boston,20,3,739,291,"1,127",,
Boston,20,4,693,150,908,,
Boston,20,5,742,321,"1,164",,
Boston,20,6,868,355,"1,310",,
Boston,20,7,505,210,754,,
Boston,20,8,575,185,817,,
Boston,20,9,660,201,921,,
Boston,20,10,849,415,"1,349",,
Boston,20,11,406,185,632,,
Boston,20,12,523,266,864,,
Boston,20,13,481,220,745,,
Boston,20,14,468,257,778,,
Boston,20,15,787,341,"1,228",,
Boston,20,16,793,443,"1,322",,
Boston,20,17,888,447,"1,436",,
Boston,20,18,490,195,722,,
Boston,20,19,489,261,811,,
Boston,20,20,834,323,"1,226",,
Boston,21,1,917,164,"1,167",,
Boston,21,2,515,52,650,,
Boston,21,3,657,75,802,,
Boston,21,4,493,57,621,,
Boston,21,5,634,88,806,,
Boston,21,6,533,110,696,,
Boston,21,7,637,99,812,,
Boston,21,8,824,128,"1,023",,
Boston,21,9,791,114,"1,024",,
Boston,21,10,590,120,781,,
Boston,21,11,776,148,990,,
Boston,21,12,848,188,"1,133",,
Boston,21,13,"1,065",227,"1,379",,
Boston,21,14,487,83,612,,
Boston,21,15,678,96,814,,
Boston,21,16,868,167,"1,153",,
Boston,22,1,970,206,"1,283",,
Boston,22,2,865,147,"1,126",,
Boston,22,3,757,203,"1,050",,
Boston,22,4,562,135,753,,
Boston,22,5,432,99,574,,
Boston,22,6,503,108,659,,
Boston,22,7,728,124,936,,
Boston,22,8,646,203,921,,
Boston,22,9,598,148,808,,
Boston,22,10,785,196,"1,070",,
Boston,22,11,489,132,680,,
Boston,22,12,485,131,688,,
Boston,22,13,369,139,550,,
Bourne,-,1,875,749,"1,710",,
Bourne,-,2,895,921,"1,907",,
Bourne,-,3,679,571,"1,323",,
Bourne,-,4,992,819,"1,924",,
Bourne,-,5,"1,005",848,"1,949",,
Bourne,-,6,666,639,"1,366",,
Boxborough,-,1,"1,730",963,"2,866",,
Boxford,-,1,739,744,"1,572",,
Boxford,-,2,798,871,"1,785",,
Boxford,-,3,747,798,"1,624",,
Boylston,-,1,"1,410","1,098","2,649",,
Braintree,-,1,969,612,"1,668",,
Braintree,-,2,888,547,"1,543",,
Braintree,-,3,878,590,"1,562",,
Braintree,-,4,938,588,"1,643",,
Braintree,-,5,898,636,"1,652",,
Braintree,-,6,814,440,"1,346",,
Braintree,-,7,902,518,"1,507",,
Braintree,-,8,716,443,"1,228",,
Braintree,-,9,"1,060",705,"1,866",,
Braintree,-,10,905,524,"1,532",,
Braintree,-,11,940,645,"1,679",,
Braintree,-,12,892,621,"1,606",,
Brewster,-,1,"1,167",943,"2,231",,
Brewster,-,2,"1,201",942,"2,249",,
Brewster,-,3,"1,154",907,"2,187",,
Bridgewater,-,1,"1,215",907,"2,294",,
Bridgewater,-,2,"1,197",869,"2,203",,
Bridgewater,-,3,"1,223","1,010","2,363",,
Bridgewater,-,4,440,278,766,,
Bridgewater,-,5,546,350,959,,
Bridgewater,-,6,988,550,"1,637",,
Bridgewater,-,7,"1,059",694,"1,888",,
Brimfield,-,1,"1,032",835,"2,049",,
Brockton,1,A,759,212,"1,040",,
Brockton,1,B,"1,054",367,"1,528",,
Brockton,1,C,826,273,"1,170",,
Brockton,1,D,"1,119",559,"1,778",,
Brockton,2,A,635,61,770,,
Brockton,2,B,650,75,772,,
Brockton,2,C,559,64,663,,
Brockton,2,D,836,249,"1,175",,
Brockton,3,A,734,186,983,,
Brockton,3,B,818,130,"1,023",,
Brockton,3,C,"1,060",506,"1,666",,
Brockton,3,D,"1,005",516,"1,612",,
Brockton,4,A,591,79,734,,
Brockton,4,B,884,258,"1,220",,
Brockton,4,C,979,328,"1,392",,
Brockton,4,D,984,326,"1,395",,
Brockton,5,A,828,110,"1,021",,
Brockton,5,B,982,306,"1,378",,
Brockton,5,C,842,211,"1,127",,
Brockton,5,D,947,381,"1,420",,
Brockton,6,A,725,227,"1,007",,
Brockton,6,B,893,373,"1,351",,
Brockton,6,C,876,346,"1,296",,
Brockton,6,D,954,451,"1,486",,
Brockton,7,A,754,128,944,,
Brockton,7,B,963,218,"1,275",,
Brockton,7,C,922,198,"1,200",,
Brockton,7,D,913,347,"1,327",,
Brookfield,-,1,944,684,"1,770",,
Brookline,-,1,"1,285",255,"1,636",,
Brookline,-,2,"1,013",163,"1,267",,
Brookline,-,3,"1,416",237,"1,737",,
Brookline,-,4,"1,173",258,"1,534",,
Brookline,-,5,"1,340",219,"1,660",,
Brookline,-,6,"1,471",183,"1,740",,
Brookline,-,7,"1,435",228,"1,778",,
Brookline,-,8,"1,413",189,"1,698",,
Brookline,-,9,"1,434",188,"1,730",,
Brookline,-,10,"1,368",282,"1,733",,
Brookline,-,11,"1,523",247,"1,866",,
Brookline,-,12,"1,550",275,"1,912",,
Brookline,-,13,"1,356",295,"1,763",,
Brookline,-,14,"1,485",406,"2,008",,
Brookline,-,15,"1,383",534,"2,033",,
Brookline,-,16,"1,359",427,"1,876",,
Buckland,-,1,781,199,"1,078",,
Burlington,-,1,"1,250",916,"2,281",,
Burlington,-,2,"1,163",655,"1,929",,
Burlington,-,3,"1,432",895,"2,476",,
Burlington,-,4,"1,061",607,"1,775",,
Burlington,-,5,"1,296",812,"2,245",,
Burlington,-,6,"1,244",776,"2,149",,
Cambridge,1,1,"1,235",304,"1,644",,
Cambridge,1,2,"1,057",162,"1,305",,
Cambridge,1,3,"1,067",172,"1,325",,
Cambridge,2,1,"1,225",64,"1,392",,
Cambridge,2,2,306,47,397,,
Cambridge,2,3,274,60,384,,
Cambridge,3,1,987,147,"1,212",,
Cambridge,3,2,"1,221",102,"1,436",,
Cambridge,3,3,"1,007",64,"1,148",,
Cambridge,4,1,"1,413",103,"1,612",,
Cambridge,4,2,"1,503",141,"1,771",,
Cambridge,4,3,586,81,728,,
Cambridge,5,1,"1,531",130,"1,775",,
Cambridge,5,2,"1,488",105,"1,682",,
Cambridge,5,3,"1,550",167,"1,840",,
Cambridge,6,1,"1,414",144,"1,675",,
Cambridge,6,2,"1,287",148,"1,535",,
Cambridge,6,3,"1,494",159,"1,744",,
Cambridge,7,1,"1,379",137,"1,603",,
Cambridge,7,2,737,76,863,,
Cambridge,7,3,515,59,610,,
Cambridge,8,1,993,118,"1,189",,
Cambridge,8,2,"1,417",183,"1,692",,
Cambridge,8,3,383,36,444,,
Cambridge,9,1,"1,564",222,"1,880",,
Cambridge,9,2,"1,529",292,"1,925",,
Cambridge,9,3,"1,457",238,"1,792",,
Cambridge,10,1,"1,682",170,"1,978",,
Cambridge,10,2,"1,618",187,"1,908",,
Cambridge,10,3,"1,130",89,"1,288",,
Cambridge,11,1,"1,047",53,"1,175",,
Cambridge,11,2,"1,472",241,"1,822",,
Cambridge,11,3,"1,615",226,"1,953",,
Canton,-,1,"1,133",644,"1,888",,
Canton,-,2,"1,291",690,"2,110",,
Canton,-,3,"1,210",699,"2,038",,
Canton,-,4,"1,159",841,"2,129",,
Canton,-,5,"1,209",771,"2,098",,
Canton,-,6,"1,148",634,"1,881",,
Carlisle,-,1,"1,977","1,106","3,246",,
Carver,-,1,"1,092",836,"2,097",,
Carver,-,2,"1,070",793,"2,023",,
Carver,-,3,"1,083",790,"2,057",,
Charlemont,-,1,476,161,694,,
Charlton,-,1,"1,107",871,"2,099",,
Charlton,-,2,"1,057",966,"2,169",,
Charlton,-,3,"1,167",892,"2,218",,
Chatham,-,1,"1,107","1,077","2,275",,
Chatham,-,2,"1,257","1,184","2,527",,
Chelmsford,-,1,"1,114",850,"2,094",,
Chelmsford,-,2,"1,083",676,"1,904",,
Chelmsford,-,3,"1,140",828,"2,090",,
Chelmsford,-,4,"1,032",770,"1,942",,
Chelmsford,-,5,"1,148",851,"2,158",,
Chelmsford,-,6,"1,254",936,"2,341",,
Chelmsford,-,7,"1,248","1,059","2,423",,
Chelmsford,-,8,"1,279",924,"2,340",,
Chelmsford,-,9,"1,187",976,"2,291",,
Chelsea,1,1,285,41,365,,
Chelsea,1,2,215,34,282,,
Chelsea,1,3,293,54,385,,
Chelsea,1,4,269,50,363,,
Chelsea,2,1,683,212,958,,
Chelsea,2,2,285,42,360,,
Chelsea,2,3,215,23,275,,
Chelsea,2,4,280,39,368,,
Chelsea,3,1,314,44,410,,
Chelsea,3,2,460,77,612,,
Chelsea,3,3,400,59,545,,
Chelsea,3,4,373,91,505,,
Chelsea,4,1,545,138,781,,
Chelsea,4,2,547,159,780,,
Chelsea,4,3,474,134,678,,
Chelsea,4,4,292,71,407,,
Cheshire,-,1,"1,404",363,"1,896",,
Chester,-,1,378,242,709,,
Chesterfield,-,1,439,223,736,,
Chicopee,1,A,896,420,"1,446",,
Chicopee,1,B,"1,031",459,"1,643",,
Chicopee,2,A,315,74,421,,
Chicopee,2,B,419,130,605,,
Chicopee,2,CN,108,50,172,,
Chicopee,2,CS,218,52,295,,
Chicopee,2,D,471,221,759,,
Chicopee,3,AE,236,111,372,,
Chicopee,3,AW,474,217,772,,
Chicopee,3,B,431,82,569,,
Chicopee,3,C,470,138,684,,
Chicopee,4,A,530,192,776,,
Chicopee,4,B,469,160,705,,
Chicopee,4,C,632,336,"1,058",,
Chicopee,5,A,775,314,"1,193",,
Chicopee,5,B,916,323,"1,353",,
Chicopee,6,AN,228,114,373,,
Chicopee,6,AS,598,268,946,,
Chicopee,6,BE,771,485,"1,364",,
Chicopee,6,BW,211,73,322,,
Chicopee,7,A,756,220,"1,072",,
Chicopee,7,B,747,229,"1,083",,
Chicopee,8,A,836,338,"1,273",,
Chicopee,8,B,814,305,"1,244",,
Chicopee,9,A,894,366,"1,382",,
Chicopee,9,B,993,474,"1,596",,
Chilmark,-,1,534,157,742,,
Clarksburg,-,1,686,160,905,,
Clinton,-,1,"1,178",608,"1,901",,
Clinton,-,2,799,433,"1,346",,
Clinton,-,3,"1,005",602,"1,721",,
Clinton,-,4,"1,011",420,"1,538",,
Cohasset,-,1,"1,257","1,010","2,369",,
Cohasset,-,2,"1,203",950,"2,260",,
Colrain,-,1,646,206,943,,
Concord,-,1,"1,065",512,"1,643",,
Concord,-,2,"1,564",632,"2,292",,
Concord,-,3,"1,414",700,"2,221",,
Concord,-,4,"1,441",636,"2,162",,
Concord,-,5,"1,545",619,"2,264",,
