City/Town,Ward,Pct,Scott P. Brown,Martha Coakley,Total Votes Cast,,
Chicopee,5,B,449,418,881,,
Chicopee,6,AN,130,123,259,,
Chicopee,6,AS,381,296,691,,
Chicopee,6,BE,646,370,"1,025",,
Chicopee,6,BW,123,90,218,,
Chicopee,7,A,260,305,590,,
Chicopee,7,B,306,321,647,,
Chicopee,8,A,472,385,881,,
Chicopee,8,B,419,350,787,,
Chicopee,9,A,522,418,957,,
Chicopee,9,B,623,511,"1,148",,
Chilmark,-,1,142,366,520,,
Clarksburg,-,1,186,395,587,,
Clinton,-,1,773,493,"1,284",,
Clinton,-,2,531,368,913,,
Clinton,-,3,785,375,"1,173",,
Clinton,-,4,636,427,"1,077",,
Cohasset,-,1,"1,265",722,"1,998",,
Cohasset,-,2,"1,136",697,"1,840",,
Colrain,-,1,249,401,669,,
Concord,-,1,551,824,"1,380",,
Concord,-,2,682,"1,194","1,900",,
Concord,-,3,722,"1,145","1,880",,
Concord,-,4,670,"1,084","1,762",,
Concord,-,5,652,"1,208","1,876",,
Conway,-,1,303,685,994,,
Cummington,-,1,130,306,442,,
Dalton,-,1,424,691,"1,136",,
Dalton,-,2,421,733,"1,170",,
Danvers,-,1,684,451,"1,155",,
Danvers,-,2,749,515,"1,276",,
Danvers,-,3,725,405,"1,145",,
Danvers,-,4,780,414,"1,203",,
Danvers,-,5,807,465,"1,287",,
Danvers,-,6,925,460,"1,393",,
Danvers,-,7,788,446,"1,243",,
Danvers,-,8,889,495,"1,391",,
Dartmouth,-,1,643,424,"1,079",,
Dartmouth,-,2,432,313,756,,
Dartmouth,-,3,211,162,378,,
Dartmouth,-,4,529,525,"1,068",,
Dartmouth,-,5,685,602,"1,301",,
Dartmouth,-,6,532,575,"1,117",,
Dartmouth,-,7,650,545,"1,202",,
Dartmouth,-,8,475,581,"1,071",,
Dartmouth,-,9,889,714,"1,610",,
Dartmouth,-,10,769,674,"1,450",,
Dedham,-,1,869,846,"1,737",,
Dedham,-,2,793,678,"1,494",,
Dedham,-,3,632,524,"1,184",,
Dedham,-,4,"1,057",797,"1,876",,
Dedham,-,5,841,568,"1,422",,
Dedham,-,6,712,592,"1,331",,
Dedham,-,7,"1,075",642,"1,735",,
Deerfield,-,1,853,"1,482","2,372",,
Dennis,-,1,"1,032",673,"1,720",,
Dennis,-,2,984,718,"1,713",,
Dennis,-,3,667,475,"1,158",,
Dennis,-,4,848,629,"1,496",,
Dennis,-,5,828,639,"1,483",,
Dighton,-,1,"1,770",829,"2,624",,
Douglas,-,1,"1,298",431,"1,748",,
Douglas,-,2,"1,142",409,"1,565",,
Dover,-,1,"1,889","1,058","2,961",,
Dracut,-,1,824,388,"1,219",,
Dracut,-,2,686,290,992,,
Dracut,-,3,841,388,"1,238",,
Dracut,-,4,"1,070",348,"1,429",,
Dracut,-,5,765,302,"1,080",,
Dracut,-,6,704,342,"1,053",,
Dracut,-,6A,28,26,54,,
Dracut,-,7,768,317,"1,093",,
Dracut,-,8,"1,091",442,"1,546",,
Dracut,-,9,881,323,"1,214",,
Dudley,-,1,590,298,899,,
Dudley,-,2,537,244,792,,
Dudley,-,3,855,328,"1,192",,
Dudley,-,4,534,255,801,,
Dunstable,-,1,969,502,"1,488",,
Duxbury,-,1,829,463,"1,300",,
Duxbury,-,2,998,513,"1,524",,
Duxbury,-,3,859,472,"1,340",,
Duxbury,-,4,768,386,"1,160",,
Duxbury,-,5,800,408,"1,210",,
Duxbury,-,6,731,434,"1,174",,
E. Bridgewater,-,1,897,344,"1,250",,
E. Bridgewater,-,2,"1,021",375,"1,403",,
E. Bridgewater,-,3,"1,033",479,"1,524",,
E. Bridgewater,-,4,900,385,"1,301",,
E. Brookfield,-,1,645,245,900,,
E. Longmeadow,-,1,986,540,"1,539",,
E. Longmeadow,-,2,883,494,"1,399",,
E. Longmeadow,-,3,"1,159",567,"1,737",,
