City/Town,Ward,Pct,Obama/ Biden,Romney/ Ryan,Total Votes Cast,,,,
Brockton,2,D,794,251,"1,064",,,,
Brockton,3,A,905,234,"1,155",,,,
Brockton,3,B,873,149,"1,034",,,,
Brockton,3,C,934,634,"1,587",,,,
Brockton,3,D,924,622,"1,574",,,,
Brockton,4,A,717,101,824,,,,
Brockton,4,B,979,286,"1,289",,,,
Brockton,4,C,952,388,"1,367",,,,
Brockton,4,D,843,317,"1,177",,,,
Brockton,5,A,981,117,"1,115",,,,
Brockton,5,B,"1,019",354,"1,394",,,,
Brockton,5,C,957,237,"1,215",,,,
Brockton,5,D,942,477,"1,448",,,,
Brockton,6,A,776,224,"1,016",,,,
Brockton,6,B,931,543,"1,511",,,,
Brockton,6,C,890,385,"1,289",,,,
Brockton,6,D,905,564,"1,496",,,,
Brockton,7,A,940,124,"1,075",,,,
Brockton,7,B,"1,058",212,"1,283",,,,
Brockton,7,C,990,226,"1,233",,,,
Brockton,7,D,945,384,"1,350",,,,
Brookfield,-,1,830,858,"1,743",,,,
Brookline,-,1,"1,339",337,"1,707",,,,
Brookline,-,2,"1,020",208,"1,260",,,,
Brookline,-,3,"1,451",349,"1,830",,,,
Brookline,-,4,"1,336",320,"1,684",,,,
Brookline,-,5,"1,562",345,"1,957",,,,
Brookline,-,6,"1,550",278,"1,868",,,,
Brookline,-,7,"1,386",327,"1,752",,,,
Brookline,-,8,"1,484",281,"1,803",,,,
Brookline,-,9,"1,419",289,"1,751",,,,
Brookline,-,10,"1,359",362,"1,763",,,,
Brookline,-,11,"1,529",332,"1,902",,,,
Brookline,-,12,"1,714",433,"2,204",,,,
Brookline,-,13,"1,390",418,"1,854",,,,
Brookline,-,14,"1,316",501,"1,854",,,,
Brookline,-,15,"1,238",670,"1,943",,,,
Brookline,-,16,"1,184",430,"1,657",,,,
Buckland,-,1,750,252,"1,055",,,,
Burlington,-,1,"1,069","1,154","2,255",,,,
Burlington,-,2,831,585,"1,443",,,,
Burlington,-,3,"1,028",875,"1,939",,,,
Burlington,-,4,933,782,"1,750",,,,
Burlington,-,5,"1,036","1,028","2,097",,,,
Burlington,-,6,"1,065",965,"2,076",,,,
Burlington,-,7,"1,021",802,"1,848",,,,
Cambridge,1,1,"1,042",328,"1,401",,,,
Cambridge,1,2,"1,092",249,"1,390",,,,
Cambridge,1,3,"1,209",237,"1,498",,,,
Cambridge,2,1,"1,353",79,"1,482",,,,
Cambridge,2,2,480,91,606,,,,
Cambridge,2,3,805,195,"1,041",,,,
Cambridge,3,1,"1,273",185,"1,523",,,,
Cambridge,3,2,853,78,971,,,,
Cambridge,3,2A,616,57,703,,,,
Cambridge,3,3,"1,407",97,"1,577",,,,
Cambridge,4,1,"1,690",108,"1,844",,,,
Cambridge,4,2,"1,689",175,"1,941",,,,
Cambridge,4,3,586,76,690,,,,
Cambridge,5,1,"1,444",113,"1,628",,,,
Cambridge,5,2,"1,570",182,"1,823",,,,
Cambridge,5,3,"1,177",101,"1,334",,,,
Cambridge,6,1,"1,563",159,"1,799",,,,
Cambridge,6,2,"1,487",167,"1,737",,,,
Cambridge,6,3,"1,654",207,"1,919",,,,
Cambridge,7,1,"1,615",119,"1,808",,,,
Cambridge,7,2,946,124,"1,116",,,,
Cambridge,7,3,702,76,813,,,,
Cambridge,8,1,"1,179",156,"1,371",,,,
Cambridge,8,2,"1,201",147,"1,380",,,,
Cambridge,8,3,485,57,570,,,,
Cambridge,9,1,"1,849",266,"2,159",,,,
Cambridge,9,2,"1,634",281,"1,973",,,,
Cambridge,9,3,"1,479",285,"1,810",,,,
Cambridge,10,1,"1,759",182,"2,005",,,,
Cambridge,10,2,"1,809",184,"2,056",,,,
Cambridge,10,3,"1,465",145,"1,647",,,,
Cambridge,11,1,"1,228",89,"1,335",,,,
Cambridge,11,2,"1,800",274,"2,157",,,,
Cambridge,11,3,"1,374",207,"1,642",,,,
Canton,-,1,"1,047",844,"1,919",,,,
Canton,-,2,"1,155",970,"2,162",,,,
Canton,-,3,"1,046",842,"1,913",,,,
Canton,-,4,"1,071","1,234","2,337",,,,
Canton,-,5,"1,092","1,021","2,149",,,,
Canton,-,6,"1,077",868,"1,991",,,,
Carlisle,-,1,"1,972","1,318","3,374",,,,
Carver,-,1,931,"1,003","1,967",,,,
Carver,-,2,921,983,"1,942",,,,
Carver,-,3,"1,020","1,125","2,177",,,,
Charlemont,-,1,456,166,643,,,,
Charlton,-,1,728,865,"1,641",,,,
Charlton,-,2,746,989,"1,767",,,,
Charlton,-,3,756,933,"1,733",,,,
Charlton,-,4,684,875,"1,605",,,,
Chatham,-,1,"2,293","2,280","4,654",,,,
Chelmsford,-,1,"1,100","1,096","2,246",,,,
Chelmsford,-,2,"1,045",852,"1,946",,,,
Chelmsford,-,3,"1,011","1,093","2,162",,,,
Chelmsford,-,4,957,966,"1,967",,,,
Chelmsford,-,5,"1,065","1,001","2,131",,,,
Chelmsford,-,6,"1,171","1,178","2,385",,,,
Chelmsford,-,7,"1,149","1,213","2,396",,,,
Chelmsford,-,8,"1,125","1,079","2,264",,,,
Chelmsford,-,9,"1,028","1,095","2,167",,,,
Chelsea,1,1,410,93,515,,,,
Chelsea,1,2,255,36,305,,,,
Chelsea,1,3,367,57,437,,,,
Chelsea,1,4,295,26,330,,,,
Chelsea,2,1,766,255,"1,059",,,,
Chelsea,2,2,368,45,440,,,,
Chelsea,2,3,248,30,289,,,,
Chelsea,2,4,371,39,423,,,,
Chelsea,3,1,448,58,527,,,,
Chelsea,3,2,478,90,583,,,,
Chelsea,3,3,429,91,545,,,,
Chelsea,3,4,421,110,546,,,,
Chelsea,4,1,422,115,559,,,,
Chelsea,4,2,567,196,807,,,,
Chelsea,4,3,491,164,673,,,,
Chelsea,4,4,466,110,605,,,,
Cheshire,-,1,"1,219",493,"1,761",,,,
Chester,-,1,331,305,667,,,,
Chesterfield,-,1,455,228,723,,,,
Chicopee,1,A,807,529,"1,377",,,,
Chicopee,1,B,"1,029",666,"1,743",,,,
Chicopee,2,A,706,246,971,,,,
Chicopee,2,B,860,546,"1,439",,,,
Chicopee,3,A,771,363,"1,172",,,,
Chicopee,3,B,681,290,994,,,,
Chicopee,4,A,751,442,"1,239",,,,
Chicopee,4,B,796,417,"1,240",,,,
Chicopee,5,A,792,450,"1,269",,,,
Chicopee,5,B,803,411,"1,256",,,,
Chicopee,6,AN,225,164,401,,,,
Chicopee,6,AS,466,350,835,,,,
Chicopee,6,BE,699,671,"1,396",,,,
Chicopee,6,BW,160,104,274,,,,
Chicopee,7,A,686,261,987,,,,
Chicopee,7,B,677,305,"1,019",,,,
Chicopee,8,A,835,495,"1,380",,,,
Chicopee,8,B,756,439,"1,241",,,,
Chicopee,9,A,819,478,"1,333",,,,
Chicopee,9,B,983,614,"1,638",,,,
Chilmark,-,1,589,127,738,,,,
Clarksburg,-,1,616,232,865,,,,
Clinton,-,1,962,725,"1,725",,,,
Clinton,-,2,912,614,"1,577",,,,
Clinton,-,3,908,706,"1,654",,,,
Clinton,-,4,986,576,"1,610",,,,
Cohasset,-,1,"1,098","1,382","2,512",,,,
Cohasset,-,2,"1,152","1,219","2,406",,,,
Colrain,-,1,618,232,893,,,,
Concord,-,1,"1,413",691,"2,137",,,,
Concord,-,2,"1,717",701,"2,462",,,,
