City/Town,Ward,Pct,Clinton/ Kaine,Trump/ Pence,Total Votes Cast,,,,,,,,,
Boston,17,6,821,44,908,,,,,,,,,
Boston,17,7,448,15,482,,,,,,,,,
Boston,17,8,730,32,783,,,,,,,,,
Boston,17,9,634,39,699,,,,,,,,,
Boston,17,10,"1,006",36,"1,074",,,,,,,,,
Boston,17,11,389,14,424,,,,,,,,,
Boston,17,12,612,39,678,,,,,,,,,
Boston,17,13,752,143,961,,,,,,,,,
Boston,17,14,835,106,983,,,,,,,,,
Boston,18,1,"1,347",49,"1,434",,,,,,,,,
Boston,18,2,961,18,"1,011",,,,,,,,,
Boston,18,3,"1,096",18,"1,148",,,,,,,,,
Boston,18,4,"1,075",34,"1,140",,,,,,,,,
Boston,18,5,969,39,"1,038",,,,,,,,,
Boston,18,6,"1,343",49,"1,426",,,,,,,,,
Boston,18,7,932,107,"1,076",,,,,,,,,
Boston,18,8,"1,646",147,"1,858",,,,,,,,,
Boston,18,9,923,164,"1,143",,,,,,,,,
Boston,18,10,"1,321",201,"1,625",,,,,,,,,
Boston,18,11,851,87,981,,,,,,,,,
Boston,18,12,926,187,"1,162",,,,,,,,,
Boston,18,13,574,59,670,,,,,,,,,
Boston,18,14,616,67,711,,,,,,,,,
Boston,18,15,919,67,"1,025",,,,,,,,,
Boston,18,16,836,346,"1,277",,,,,,,,,
Boston,18,17,935,171,"1,175",,,,,,,,,
Boston,18,18,"1,120",205,"1,391",,,,,,,,,
Boston,18,19,"1,463",260,"1,831",,,,,,,,,
Boston,18,20,"1,023",430,"1,547",,,,,,,,,
Boston,18,21,"1,223",38,"1,308",,,,,,,,,
Boston,18,22,926,325,"1,335",,,,,,,,,
Boston,18,23,900,69,999,,,,,,,,,
Boston,19,1,"1,008",29,"1,104",,,,,,,,,
Boston,19,2,967,236,"1,316",,,,,,,,,
Boston,19,3,772,62,898,,,,,,,,,
Boston,19,4,"1,179",42,"1,281",,,,,,,,,
Boston,19,5,912,68,"1,041",,,,,,,,,
Boston,19,6,"1,354",52,"1,501",,,,,,,,,
Boston,19,7,"1,174",81,"1,339",,,,,,,,,
Boston,19,8,647,34,721,,,,,,,,,
Boston,19,9,638,45,740,,,,,,,,,
Boston,19,10,"1,091",142,"1,312",,,,,,,,,
Boston,19,11,"1,051",56,"1,152",,,,,,,,,
Boston,19,12,807,106,953,,,,,,,,,
Boston,19,13,737,83,858,,,,,,,,,
Boston,20,1,895,231,"1,203",,,,,,,,,
Boston,20,2,967,171,"1,219",,,,,,,,,
