City/Town,Ward,Pct,Obama/ Biden,McCain/ Palin,Total Votes Cast,,,,,,
Boston,20,5,682,443,"1,164",,,,,,
Boston,20,6,817,450,"1,310",,,,,,
Boston,20,7,481,246,754,,,,,,
Boston,20,8,602,205,817,,,,,,
Boston,20,9,636,265,921,,,,,,
Boston,20,10,758,566,"1,349",,,,,,
Boston,20,11,410,205,632,,,,,,
Boston,20,12,507,328,864,,,,,,
Boston,20,13,438,292,745,,,,,,
Boston,20,14,426,332,778,,,,,,
Boston,20,15,712,481,"1,228",,,,,,
Boston,20,16,708,567,"1,322",,,,,,
Boston,20,17,801,596,"1,436",,,,,,
Boston,20,18,460,244,722,,,,,,
Boston,20,19,468,324,811,,,,,,
Boston,20,20,782,417,"1,226",,,,,,
Boston,21,1,979,157,"1,167",,,,,,
Boston,21,2,578,65,650,,,,,,
Boston,21,3,675,107,802,,,,,,
Boston,21,4,534,56,621,,,,,,
Boston,21,5,680,97,806,,,,,,
Boston,21,6,564,102,696,,,,,,
Boston,21,7,662,130,812,,,,,,
Boston,21,8,867,126,"1,023",,,,,,
Boston,21,9,846,152,"1,024",,,,,,
Boston,21,10,602,160,781,,,,,,
Boston,21,11,759,205,990,,,,,,
Boston,21,12,796,302,"1,133",,,,,,
Boston,21,13,839,475,"1,379",,,,,,
Boston,21,14,513,89,612,,,,,,
Boston,21,15,693,98,814,,,,,,
Boston,21,16,903,221,"1,153",,,,,,
Boston,22,1,"1,010",230,"1,283",,,,,,
Boston,22,2,875,209,"1,126",,,,,,
Boston,22,3,767,257,"1,050",,,,,,
Boston,22,4,565,152,753,,,,,,
Boston,22,5,424,132,574,,,,,,
Boston,22,6,499,142,659,,,,,,
Boston,22,7,752,161,936,,,,,,
Boston,22,8,619,275,921,,,,,,
Boston,22,9,587,200,808,,,,,,
Boston,22,10,799,229,"1,070",,,,,,
Boston,22,11,493,172,680,,,,,,
Boston,22,12,500,168,688,,,,,,
Boston,22,13,378,157,550,,,,,,
Bourne,-,1,823,842,"1,710",,,,,,
Bourne,-,2,907,947,"1,907",,,,,,
Bourne,-,3,669,629,"1,323",,,,,,
Bourne,-,4,"1,005",872,"1,924",,,,,,
Bourne,-,5,977,923,"1,949",,,,,,
Bourne,-,6,695,646,"1,366",,,,,,
Boxborough,-,1,"1,798",996,"2,866",,,,,,
Boxford,-,1,744,795,"1,572",,,,,,
Boxford,-,2,797,945,"1,785",,,,,,
Boxford,-,3,745,846,"1,624",,,,,,
Boylston,-,1,"1,352","1,215","2,649",,,,,,
Braintree,-,1,767,842,"1,668",,,,,,
Braintree,-,2,781,714,"1,543",,,,,,
Braintree,-,3,808,718,"1,562",,,,,,
Braintree,-,4,815,788,"1,643",,,,,,
Braintree,-,5,743,849,"1,652",,,,,,
Braintree,-,6,725,576,"1,346",,,,,,
Braintree,-,7,821,637,"1,507",,,,,,
Braintree,-,8,655,540,"1,228",,,,,,
Braintree,-,9,927,882,"1,866",,,,,,
Braintree,-,10,744,735,"1,532",,,,,,
Braintree,-,11,780,853,"1,679",,,,,,
Braintree,-,12,732,830,"1,606",,,,,,
Brewster,-,1,"1,311",835,"2,231",,,,,,
Brewster,-,2,"1,324",855,"2,249",,,,,,
Brewster,-,3,"1,268",845,"2,187",,,,,,
Bridgewater,-,1,"1,103","1,122","2,294",,,,,,
Bridgewater,-,2,"1,022","1,126","2,203",,,,,,
Bridgewater,-,3,"1,096","1,211","2,363",,,,,,
Bridgewater,-,4,395,346,766,,,,,,
Bridgewater,-,5,480,443,959,,,,,,
Bridgewater,-,6,857,717,"1,637",,,,,,
Bridgewater,-,7,936,896,"1,888",,,,,,
Brimfield,-,1,984,979,"2,049",,,,,,
Brockton,1,A,743,273,"1,040",,,,,,
Brockton,1,B,988,495,"1,528",,,,,,
Brockton,1,C,774,366,"1,170",,,,,,
Brockton,1,D,"1,004",724,"1,778",,,,,,
Brockton,2,A,681,78,770,,,,,,
Brockton,2,B,662,103,772,,,,,,
Brockton,2,C,585,73,663,,,,,,
Brockton,2,D,814,326,"1,175",,,,,,
Brockton,3,A,727,239,983,,,,,,
Brockton,3,B,840,167,"1,023",,,,,,
Brockton,3,C,949,671,"1,666",,,,,,
Brockton,3,D,927,644,"1,612",,,,,,
Brockton,4,A,608,110,734,,,,,,
Brockton,4,B,844,342,"1,220",,,,,,
Brockton,4,C,937,420,"1,392",,,,,,
