City/Town,Ward,Pct,Kerry/ Edwards,Bush/ Cheney,Total Votes Cast,,,,,
Cambridge,1,1,803,259,"1,088",,,,,
Cambridge,1,2,932,241,"1,203",,,,,
Cambridge,1,3,907,222,"1,159",,,,,
Cambridge,2,1,"1,034",90,"1,151",,,,,
Cambridge,2,2,308,95,427,,,,,
Cambridge,2,3,334,82,458,,,,,
Cambridge,3,1,913,187,"1,130",,,,,
Cambridge,3,2,"1,019",112,"1,171",,,,,
Cambridge,3,3,898,89,"1,035",,,,,
Cambridge,4,1,"1,282",113,"1,445",,,,,
Cambridge,4,2,"1,422",186,"1,671",,,,,
Cambridge,4,3,514,88,631,,,,,
Cambridge,5,1,"1,301",154,"1,505",,,,,
Cambridge,5,2,"1,279",129,"1,452",,,,,
Cambridge,5,3,"1,399",195,"1,658",,,,,
Cambridge,6,1,"1,334",179,"1,557",,,,,
Cambridge,6,2,"1,247",152,"1,437",,,,,
Cambridge,6,3,"1,469",183,"1,682",,,,,
Cambridge,7,1,"1,310",110,"1,465",,,,,
Cambridge,7,2,763,108,898,,,,,
Cambridge,7,3,485,66,566,,,,,
Cambridge,8,1,981,119,"1,137",,,,,
Cambridge,8,2,"1,427",177,"1,634",,,,,
Cambridge,8,3,358,45,422,,,,,
Cambridge,9,1,"1,594",215,"1,846",,,,,
Cambridge,9,2,"1,483",343,"1,864",,,,,
Cambridge,9,3,"1,361",289,"1,677",,,,,
Cambridge,10,1,"1,573",191,"1,808",,,,,
Cambridge,10,2,"1,615",181,"1,851",,,,,
Cambridge,10,3,989,112,"1,118",,,,,
Cambridge,11,1,811,70,892,,,,,
Cambridge,11,2,"1,325",278,"1,649",,,,,
Cambridge,11,3,"1,416",278,"1,756",,,,,
Canton,-,1,"1,142",719,"1,879",,,,,
Canton,-,2,"1,191",745,"1,966",,,,,
Canton,-,3,943,785,"1,753",,,,,
Canton,-,4,"1,048",998,"2,073",,,,,
Canton,-,5,"1,093",891,"2,020",,,,,
Canton,-,6,"1,059",737,"1,816",,,,,
Carlisle,-,1,"1,947","1,124","3,144",,,,,
Carver,-,1,"1,039",914,"1,982",,,,,
Carver,-,2,943,894,"1,870",,,,,
Carver,-,3,"1,072",923,"2,027",,,,,
Charlemont,-,1,433,223,672,,,,,
Charlton,-,1,846,873,"1,746",,,,,
Charlton,-,2,849,"1,102","1,964",,,,,
Charlton,-,3,944,"1,008","1,990",,,,,
Chatham,-,1,"1,202","1,114","2,385",,,,,
Chatham,-,2,"1,221","1,227","2,535",,,,,
Chelmsford,-,1,"1,044",910,"1,999",,,,,
Chelmsford,-,2,969,712,"1,704",,,,,
Chelmsford,-,3,"1,030",874,"1,943",,,,,
Chelmsford,-,4,990,855,"1,879",,,,,
Chelmsford,-,5,"1,078",930,"2,065",,,,,
Chelmsford,-,6,"1,150","1,050","2,235",,,,,
Chelmsford,-,7,"1,201","1,128","2,363",,,,,
Chelmsford,-,8,"1,102",987,"2,126",,,,,
Chelmsford,-,9,"1,124","1,039","2,202",,,,,
Chelsea,1,1,266,83,356,,,,,
Chelsea,1,2,171,77,251,,,,,
Chelsea,1,3,289,84,383,,,,,
Chelsea,1,4,200,62,272,,,,,
Chelsea,2,1,640,243,904,,,,,
Chelsea,2,2,241,69,326,,,,,
Chelsea,2,3,192,52,253,,,,,
Chelsea,2,4,214,64,294,,,,,
Chelsea,3,1,239,95,344,,,,,
Chelsea,3,2,355,90,461,,,,,
Chelsea,3,3,354,117,481,,,,,
Chelsea,3,4,315,129,449,,,,,
Chelsea,4,1,454,173,635,,,,,
Chelsea,4,2,501,234,756,,,,,
Chelsea,4,3,460,176,651,,,,,
Chelsea,4,4,254,85,350,,,,,
Cheshire,-,1,"1,254",543,"1,831",,,,,
Chester,-,1,322,330,666,,,,,
Chesterfield,-,1,363,293,673,,,,,
Chicopee,1,A,904,546,"1,472",,,,,
Chicopee,1,B,978,563,"1,562",,,,,
Chicopee,2,A,291,115,415,,,,,
Chicopee,2,B,387,157,551,,,,,
Chicopee,2,CN,115,62,182,,,,,
Chicopee,2,CS,199,75,279,,,,,
Chicopee,2,D,456,272,734,,,,,
Chicopee,3,AE,238,131,372,,,,,
Chicopee,3,AW,461,260,733,,,,,
Chicopee,3,B,414,161,590,,,,,
Chicopee,3,C,448,206,664,,,,,
Chicopee,4,A,556,249,818,,,,,
Chicopee,4,B,449,257,714,,,,,
Chicopee,4,C,677,365,"1,063",,,,,
Chicopee,5,A,774,378,"1,169",,,,,
Chicopee,5,B,861,429,"1,316",,,,,
Chicopee,6,AN,259,111,379,,,,,
Chicopee,6,AS,480,319,808,,,,,
Chicopee,6,BE,779,558,"1,359",,,,,
Chicopee,6,BW,202,96,299,,,,,
Chicopee,7,A,653,315,982,,,,,
Chicopee,7,B,679,318,"1,008",,,,,
Chicopee,8,A,810,490,"1,328",,,,,
Chicopee,8,B,763,456,"1,242",,,,,
Chicopee,9,A,842,505,"1,365",,,,,
Chicopee,9,B,967,563,"1,557",,,,,
Chilmark,-,1,583,156,747,,,,,
Clarksburg,-,1,598,268,877,,,,,
Clinton,-,1,997,738,"1,771",,,,,
Clinton,-,2,771,546,"1,354",,,,,
